Month,Mkt (vwretd),SMB,HML,Risk-Free,CAP1RET,CAP2RET,CAP3RET,CAP4RET,CAP5RET,CAP6RET,CAP7RET,CAP8RET,CAP9RET,CAP10RET
19900131,-0.0736,-0.0123,0.0085,0.0057,-0.03475,-0.0535,-0.05782,-0.03945,-0.0613,-0.0673,-0.08662,-0.062,-0.07023,-0.06761
19900228,0.0077,0.0095,0.0049,0.0057,0.00352,0.02473,-0.0101,0.00152,0.01538,0.01524,0.01654,0.01692,0.01287,0.01323
19900330,0.0171,0.0142,-0.0287,0.0064,0.01754,0.00024,0.02823,0.01685,0.01706,0.02261,0.03669,0.0171,0.02406,0.02363
19900430,-0.0344,-0.0042,-0.0249,0.0069,-0.03397,-0.02799,-0.03809,-0.04224,-0.03837,-0.03685,-0.04318,-0.04527,-0.044,-0.02144
19900531,0.0816,-0.0275,-0.038,0.0068,-0.00653,0.01307,0.03176,0.03126,0.04496,0.06107,0.07091,0.07492,0.08316,0.09363
19900629,-0.0121,0.0139,-0.0209,0.0063,-0.00526,0.01995,-0.00347,0.00717,-0.00501,0.00777,-0.0001,-0.01018,-0.0118,-0.00496
19900731,-0.0109,-0.0306,0.0015,0.0068,-0.01096,-0.03966,-0.034,-0.0246,-0.0191,-0.01884,-0.01935,-0.01563,-0.02301,0.00215
19900831,-0.0940,-0.0351,0.0161,0.0066,-0.12443,-0.13285,-0.11828,-0.10909,-0.10565,-0.10589,-0.11442,-0.09171,-0.09457,-0.08346
19900928,-0.0550,-0.036,0.0068,0.006,-0.08272,-0.07535,-0.07684,-0.08093,-0.07331,-0.07259,-0.07977,-0.05109,-0.07062,-0.0423
19901031,-0.0162,-0.0553,0.0017,0.0068,-0.07302,-0.06511,-0.0575,-0.05468,-0.05299,-0.03762,-0.04919,-0.03352,-0.03621,0.00088
19901130,0.0571,0.0023,-0.0297,0.0057,-0.01891,0.01017,0.02954,0.03865,0.04647,0.05055,0.07516,0.06177,0.08093,0.06029
19901231,0.0221,0.0078,-0.0161,0.006,-0.02944,-0.026,0.00283,0.00483,0.01372,0.02611,0.04123,0.02704,0.0399,0.02633
19910131,0.0369,0.0378,-0.0176,0.0052,0.17199,0.14775,0.09225,0.08393,0.08641,0.06372,0.06825,0.05783,0.05259,0.03655
19910228,0.0683,0.0383,-0.0057,0.0048,0.18856,0.15045,0.13145,0.14795,0.12419,0.09953,0.10345,0.08329,0.08736,0.06663
19910328,0.0200,0.0394,-0.0121,0.0044,0.11518,0.0963,0.0589,0.05667,0.04391,0.05309,0.03985,0.0306,0.03191,0.02049
19910430,-0.0024,0.0048,0.0151,0.0053,-0.00812,0.00075,-0.01604,-0.00742,-0.01171,0.00372,0.01318,0.00231,0.01749,0.00039
19910531,0.0353,-0.004,-0.0056,0.0047,0.00759,-0.00172,0.0306,0.02975,0.03358,0.04867,0.04294,0.04282,0.04485,0.03889
19910628,-0.0463,0.0011,0.0111,0.0042,-0.06702,-0.04012,-0.03817,-0.03334,-0.03114,-0.03462,-0.04071,-0.03832,-0.04193,-0.04286
19910731,0.0404,-0.0095,-0.0135,0.0049,0.00964,0.00878,0.02577,0.01773,0.01659,0.03228,0.0526,0.03672,0.05295,0.0454
19910830,0.0194,0.0155,-0.0087,0.0046,0.01159,-0.00425,0.03732,0.02217,0.01801,0.02711,0.03026,0.0233,0.02243,0.02418
19910930,-0.0176,0.0163,-0.0111,0.0046,-0.00339,-0.00479,0.0076,0.00658,0.00441,0.01172,-0.00375,-0.01092,-0.00583,-0.01596
19911031,0.0115,0.0091,-0.0037,0.0042,-0.00895,-0.00443,0.03318,0.01548,0.01237,0.02565,0.02345,0.01392,0.01879,0.0147
19911129,-0.0418,-0.0048,-0.0186,0.0039,-0.02984,-0.03325,-0.01525,-0.04233,-0.03383,-0.0551,-0.04204,-0.03447,-0.04332,-0.03667
19911231,0.1013,-0.023,-0.0401,0.0038,-0.01695,0.0315,0.05648,0.04673,0.05919,0.07405,0.09736,0.0822,0.11254,0.10832
19920131,-0.0136,0.084,0.0461,0.0034,0.40471,0.19545,0.12233,0.06395,0.05659,0.06716,0.04116,0.03714,0.01924,-0.02445
19920228,0.0091,0.0083,0.0639,0.0028,0.11,0.02617,0.03632,0.05003,0.02117,0.01241,0.02633,0.02854,0.02172,0.00763
19920331,-0.0235,-0.0099,0.0361,0.0034,-0.02607,0.00393,-0.02006,-0.01071,-0.02572,-0.03153,-0.02425,-0.01786,-0.02722,-0.01857
19920430,0.0192,-0.0609,0.0425,0.0032,-0.07893,-0.04278,-0.03998,-0.01922,-0.02579,-0.02023,-0.01575,-0.00074,0.01376,0.02993
